id,restaurant_name,rating,number_of_ratings,full_address,url
0,Sushi bar Engawa,4.6,144,"Praha, Petrské nám. 1664/5, 11000",https://www.restu.cz/sushi-bar-engawa/
1,Sia Restaurant,4.7,96,"Praha, V Celnici 1034/6, 11000",https://www.restu.cz/sia/
2,Bruxx,4.6,3656,"Praha, Náměstí Míru 9, 12000",https://www.restu.cz/bruxx/
3,Café Restaurant Palanda,4.7,3740,"Praha, Zlatnická 1122/11, 11000",https://www.restu.cz/cafe-restaurant-palanda/
4,Vinohradský parlament,4.4,1818,"Praha, Korunní 1, 12000",https://www.restu.cz/vinohradsky-parlament/
5,Ristorante Pizzeria La Scala,4.4,1775,"Praha, Celetná 601/5, 11000",https://www.restu.cz/ristorante-pizzeria-la-scala/
6,Maitrea,4.7,1758,"Praha, Týnská ulička 1064/6, 11000",https://www.restu.cz/maitrea/
7,Meat & Greet burgerhouse,4.8,1448,"Praha, Senovážné náměstí 994/2, 11000",https://www.restu.cz/meat-greet-burgerhouse/
8,Etnosvět,4.8,759,"Praha, Legerova 40, 12000",https://www.restu.cz/etnosvet/
9,Potrefená Husa Hybernská,4.4,1302,"Praha, Dlážděná 1003/7, 11000",https://www.restu.cz/potrefena-husa-praha-hybernska/
10,Golden Pacific Café,4.1,2188,"Praha, Radlická 117, OC Galerie Butovice, 15800",https://www.restu.cz/golden-pacific-cafe/
11,Momoichi Coffetearia,4.7,512,"Praha, Římská 35, 12000",https://www.restu.cz/kavarna-momoichi/
12,George Prime Steak,4.8,755,"Praha, Platnéřská 111/19, 11000",https://www.restu.cz/george-prime-steak/
13,Oblaca (Žižkovská věž),4.6,264,"Praha, Mahlerovy sady 2699/1 , 13000",https://www.restu.cz/oblaca-zizkovska-vez/
14,Lehká Hlava,4.7,776,"Praha, Boršov 280/2, 11000",https://www.restu.cz/lehka-hlava/
15,Šenkovna Pub,4.6,845,"Praha, Sokolská 60, 12800",https://www.restu.cz/senkovna-pub/
16,Las Adelitas Lucemburská,4.6,1173,"Praha, Lucemburská 1497/6, 13000",https://www.restu.cz/las-adelitas/
17,T.G.I. Friday's Anděl,4.6,1403,"Praha, Nádražní 58/110, 15000",https://www.restu.cz/t-g-i-fridays-andel/
18,Podolka - Podolí,4.5,2077,"Praha, Podolské nábřeží - Přístav 1, 14700",https://www.restu.cz/podolka-podoli/
19,Restaurace Vabene,4.5,4161,"Praha, Malá Štupartská 636/5, 11000",https://www.restu.cz/restaurace-vabene/
20,Las Adelitas Americká,4.5,1206,"Praha, Americká 684/8, 12000",https://www.restu.cz/las-adelitas-americka/
21,Kolkovna Celnice,4.2,698,"Praha, V Celnici 1031/4, 11000",https://www.restu.cz/kolkovna-celnice/
22,Las Adelitas Malé Náměstí,4.5,748,"Praha, Malé náměstí 457/13, 11000",https://www.restu.cz/las-adelitas-male-namesti/
23,Café Lounge,4.7,1003,"Praha, Plaská 615/8, 15000",https://www.restu.cz/cafe-lounge/
24,Kavárna Cafedu,4.7,137,"Praha, Škrétova 490/12, 12000",https://www.restu.cz/kavarna-cafedu/
25,La Piccola Perla,4.6,321,"Praha, Perlová 412/1, 11000",https://www.restu.cz/la-piccola-perla/
26,Kavárna Slavia,4.3,404,"Praha, Smetanovo nábřeží 2, 11000",https://www.restu.cz/kavarna-slavia-1/
27,U Modré kachničky II,4.7,537,"Praha, Michalská 434/16, 11000",https://www.restu.cz/u-modre-kachnicky-ii/
28,Kolkovna Budějovická,4.4,840,"Praha, Budějovická 1518/13a, 14000",https://www.restu.cz/kolkovna-budejovicka/
29,Podolka Karlín,4.5,824,"Praha, Šaldova 34, 18600",https://www.restu.cz/podolka-karlin/
30,Agave restaurant,4.6,447,"Praha, Masná 620/2, 11000",https://www.restu.cz/agave/
31,Pastař,4.7,767,"Praha, Malostranské nábřeží 558/1, 11800",https://www.restu.cz/pastar/
32,Malešický mikropivovar,4.6,1032,"Praha, Malešická 126/50, 10800",https://www.restu.cz/malesicky-mikropivovar/
33,KOBE RESTAURANT Anděl Praha,4.6,448,"Praha, Radlická 3185/1c, 15000",https://www.restu.cz/kobe-restaurant-andel/
34,Vinárna Koštovna u Počtů,4.7,495,"Praha, Milady Horákové 47, 17000",https://www.restu.cz/restaurace-a-vinarna-u-poctu/
35,La Finestra in Cucina,4.8,459,"Praha, Platnéřská 90/13, 11000",https://www.restu.cz/la-finestra-in-cucina/
36,Creperie U Slepé kočičky,4.6,140,"Praha, Milady Horákové 600/38, 17000",https://www.restu.cz/creperie-u-slepe-kocicky/
37,Bejzment,4.5,926,"Praha, Lesnická 8, 15000",https://www.restu.cz/restaurace-bejzment/
38,BeefHouse Grill&Bar (Butcher's Grill & Pasta Praha),4.6,493,"Praha, Mlynářská 3, 11000",https://www.restu.cz/butcher-s-grill-pasta-praha/
39,BEEF BAR,4.6,288,"Praha, Na Perštýně 10, 11000",https://www.restu.cz/beef-bar-prague/
40,Bad Jeff's barbeque,4.7,159,"Praha, Americká 32, 12000",https://www.restu.cz/bad-jeffs-barbeque/
41,Spižírna 1902,4.5,28,"Praha, Korunní 86, 13000",https://www.restu.cz/spizirna-1902/
42,El Barrio de Ángel,4.5,214,"Praha, Lidická 284/42, 15000",https://www.restu.cz/el-barrio-de-angel/
43,Tom's burger Máneska,4.3,1175,"Praha, Anny Letenské 916/16, 12000",https://www.restu.cz/toms-burger-manesova/
